"archive_path","entry_path","depth","entry_kind","uncompressed_size_bytes","compressed_size_bytes","last_write_time"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/7screws/T3_Y_data.csv","2","file","58396321","15297183","2025-04-23T10:15:30.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/7screws/T3_Z_data.csv","2","file","57462297","15414775","2025-04-23T10:16:26.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/8screws/","2","directory","0","0","2025-04-17T11:17:22.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/8screws/T3_Current_data.csv","2","file","53287416","7191102","2025-04-23T10:11:52.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/8screws/T3_Delta_T_data.csv","2","file","104820829","1405902","2025-04-23T10:12:56.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/8screws/T3_X_data.csv","2","file","58625405","14957593","2025-04-23T10:09:42.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/8screws/T3_Y_data.csv","2","file","58877811","15030522","2025-04-23T10:10:14.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/8screws/T3_Z_data.csv","2","file","57801612","15223620","2025-04-23T10:11:00.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip","csv/T3/8000rpm.zip","1","nested_archive","544602310","543281930","2025-06-30T18:35:28.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/","2","directory","0","0","2025-04-17T10:17:56.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/1screws/","2","directory","0","0","2025-04-17T11:30:56.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/1screws/T3_Current_data.csv","2","file","53166286","7554161","2025-04-23T10:49:42.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/1screws/T3_Delta_T_data.csv","2","file","104586392","1438470","2025-04-23T10:50:30.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/1screws/T3_X_data.csv","2","file","57306214","15406804","2025-04-23T10:47:26.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/1screws/T3_Y_data.csv","2","file","57263352","15516722","2025-04-23T10:48:12.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/1screws/T3_Z_data.csv","2","file","56908196","15724517","2025-04-23T10:48:54.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/2screws/","2","directory","0","0","2025-04-17T11:29:02.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/2screws/T3_Current_data.csv","2","file","53186511","7201405","2025-04-23T10:45:18.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/2screws/T3_Delta_T_data.csv","2","file","105337557","1469931","2025-04-23T10:46:06.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/2screws/T3_X_data.csv","2","file","57883620","15127556","2025-04-23T10:42:54.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/2screws/T3_Y_data.csv","2","file","59374507","14936144","2025-04-23T10:43:46.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/2screws/T3_Z_data.csv","2","file","57386477","15301259","2025-04-23T10:44:32.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/3screws/","2","directory","0","0","2025-04-17T11:27:06.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/3screws/T3_Current_data.csv","2","file","53233935","7059415","2025-04-23T10:40:36.0000000+08:00"
