epoch,t,truth,score,verdict,predicted,ewma,cusum,quarantine,n_known,source_mode
4,144,8screws,0.8548,healthy,8screws,0.0954,0.0,0,1,manual
4,145,8screws,1.0272,unknown,,0.1678,0.03,0,1,manual
4,146,8screws,0.9578,healthy,8screws,0.1544,0.0,0,1,manual
4,147,8screws,0.7888,healthy,8screws,0.142,0.0,0,1,manual
4,148,8screws,1.0256,unknown,,0.2106,0.03,0,1,manual
4,149,8screws,0.8429,healthy,8screws,0.1938,0.0,0,1,manual
4,150,8screws,0.9605,healthy,8screws,0.1783,0.0,0,1,manual
4,151,8screws,0.8202,healthy,8screws,0.164,0.0,0,1,manual
4,152,8screws,0.781,healthy,8screws,0.1509,0.0,0,1,manual
4,153,8screws,1.0777,unknown,,0.2188,0.08,0,1,manual
4,154,8screws,0.6346,healthy,8screws,0.2013,0.0,0,1,manual
4,155,8screws,0.7884,healthy,8screws,0.1852,0.0,0,1,manual
4,156,8screws,0.8758,healthy,8screws,0.1704,0.0,0,1,manual
4,157,8screws,0.7903,healthy,8screws,0.1568,0.0,0,1,manual
4,158,8screws,0.9657,healthy,8screws,0.1442,0.0,0,1,manual
4,159,8screws,0.8409,healthy,8screws,0.1327,0.0,0,1,manual
4,160,8screws,0.7661,healthy,8screws,0.1221,0.0,0,1,manual
4,161,8screws,0.8441,healthy,8screws,0.1123,0.0,0,1,manual
4,162,8screws,0.7991,healthy,8screws,0.1033,0.0,0,1,manual
4,163,8screws,0.7619,healthy,8screws,0.0951,0.0,0,1,manual
4,164,8screws,0.8944,healthy,8screws,0.0875,0.0,0,1,manual
4,165,8screws,0.8478,healthy,8screws,0.0805,0.0,0,1,manual
4,166,8screws,1.0265,unknown,,0.154,0.03,0,1,manual
4,167,8screws,0.7471,healthy,8screws,0.1417,0.0,0,1,manual
4,168,8screws,0.847,healthy,8screws,0.1304,0.0,0,1,manual
4,169,8screws,0.9288,healthy,8screws,0.1199,0.0,0,1,manual
4,170,8screws,0.9275,healthy,8screws,0.1103,0.0,0,1,manual
4,171,8screws,0.7537,healthy,8screws,0.1015,0.0,0,1,manual
4,172,8screws,0.8607,healthy,8screws,0.0934,0.0,0,1,manual
4,173,8screws,0.7386,healthy,8screws,0.0859,0.0,0,1,manual
4,174,8screws,0.8636,healthy,8screws,0.079,0.0,0,1,manual
4,175,8screws,0.8547,healthy,8screws,0.0727,0.0,0,1,manual
4,176,8screws,0.9043,healthy,8screws,0.0669,0.0,0,1,manual
4,177,8screws,1.0366,unknown,,0.1416,0.04,0,1,manual
4,178,8screws,0.8762,healthy,8screws,0.1302,0.0,0,1,manual
4,179,8screws,0.8342,healthy,8screws,0.1198,0.0,0,1,manual
4,180,8screws,0.9564,healthy,8screws,0.1102,0.0,0,1,manual
4,181,8screws,0.8824,healthy,8screws,0.1014,0.0,0,1,manual
4,182,8screws,0.9651,healthy,8screws,0.0933,0.0,0,1,manual
4,183,8screws,0.7738,healthy,8screws,0.0858,0.0,0,1,manual
4,184,8screws,0.6288,healthy,8screws,0.079,0.0,0,1,manual
4,185,8screws,0.9235,healthy,8screws,0.0726,0.0,0,1,manual
4,186,8screws,0.8278,healthy,8screws,0.0668,0.0,0,1,manual
4,187,8screws,0.8977,healthy,8screws,0.0615,0.0,0,1,manual
4,188,8screws,0.9375,healthy,8screws,0.0566,0.0,0,1,manual
4,189,8screws,0.8583,healthy,8screws,0.052,0.0,0,1,manual
4,190,8screws,0.8387,healthy,8screws,0.0479,0.0,0,1,manual
4,191,8screws,0.9306,healthy,8screws,0.0441,0.0,0,1,manual
4,192,8screws,0.9752,healthy,8screws,0.0405,0.0,0,1,manual
4,193,8screws,0.8152,healthy,8screws,0.0373,0.0,0,1,manual
4,194,8screws,0.9564,healthy,8screws,0.0343,0.0,0,1,manual
4,195,8screws,0.8762,healthy,8screws,0.0316,0.0,0,1,manual
4,196,8screws,0.9288,healthy,8screws,0.029,0.0,0,1,manual
4,197,8screws,0.9651,healthy,8screws,0.0267,0.0,0,1,manual
4,198,8screws,0.8441,healthy,8screws,0.0246,0.0,0,1,manual
4,199,8screws,0.8758,healthy,8screws,0.0226,0.0,0,1,manual
4,200,8screws,0.8429,healthy,8screws,0.0208,0.0,0,1,manual
